caption,num_likes,num_comments,cluster
"Are you single 🥸 or are you in a relationship 😉 or are you currently just simping 🤡

Jo bhi hai, how and why is this related to personal finance? Find out from our boi @katariaaryann 👆

Reel dekh ke, answer a few questions on assets and liabilities to win 500 FamCoins 🤩✨",17172,306,1
the only way to eat peacefully in front of your friends is to eat your tiffin before you meet them 🤪,17968,167,1
🥸🤯🤡,27860,453,1
"drop the last 2 digits of your phone number to win FREE topups 🤩🤯✨

and we know you’re recharging on FamPay anyway because you get
 
⚡️ 2x FamCoins on every recharger
⚡️ No hidden fees
And it only takes a minute 😏",31366,13720,4
adding fresh popcorn to the list 🍿😋🤩,26361,306,1
we’ll start- it’s a Milk Bikis biscuit,15544,2840,0
"check out the FamPay app to get gaming, win money and earn FamCoins! Stack Up, Ninja Runner and many more games now available ✨",12726,282,3
"UPGRADE to iPhone 14 in 2023! - bass recharge for ₹99+ on FamPay. Jitne zyada recharges, utne zyada chances of winning! 

Oh also - sabko milega up to ₹50 cash reward and 50 lucky winners will win 1 Year Disney+ Hotstar subscription 🔥",30212,225,2
"we are here just celebrating every Word's Worth. 🙃

Here's to bringing in 2023 with humour & a whole lot of fun ✨

#2023",19009,111,1
"New year, same jokes 🙃",12296,138,2
"We’re giving FREE Google Play Redeem Codes in the comments 👇 every 30 mins! Use them to buy Free Fire Max Elite passes or grab your favourite packs now!

Comment🔥 and we will drop the codes faster! 

Can’t wait to level up your gaming? Head to the FamPay app and use FamCoins to unlock exclusive discounts on redeem codes 🤩",34636,6928,4
"Clearly Tanmay’s been suuper busy working on the most amazing, most bestest, most funtastic crash course on money for you guys. 🏋️

Toh bhai aana toh padega 😛

Get your tickets now by clicking the link in bio 🏃

See you on 8th Jan | 12 Noon 🗓️",9380,86,3
"Times when YouTube should have a 5x option: NOW! 

Option 1, 2 or 3? Tell us in the comments!",14630,377,2
"That’s right, you can win an iPhone 14 by recharging for ₹99 and above on FamPay 🤩 

Jitne zyada recharges, utne zyada chances of winning! So get recharging for your friends, family, neighbours, crushes - whoever 😉 

PS. everyone gets up to ₹50 cash reward and 50 lucky winners will win 1 Year Disney+ Hotstar subscription 🔥",25259,200,2
"the marketing team at fampay tried everything 🤯 but we know there is no one better than Tanmay to teach you about finance 😎😎

check the last slide and go buy your tickets before they sell out 🏃‍♀️🏃🏃‍♂️",13807,160,1
"vote for your favourite contestant & make them win the Not So Secret Santa giveaway! 🎁

simply drop the contestant number in the comments below 👇🏼
 
P.S. you could also win a surprise Christmas gift by voting, so get commentingggg! 💪🏼",18387,3818,3
"We’re dropping FREE Google Play Redeem Codes in the comments 👇 every 30 mins! 

And if you can’t wait to get level up your gaming, head to the FamPay app and buy GPRCs now 🤩",29535,2129,4
"Want to make, save and invest money, it’s time to Get Lit 😎

Our boi @katariaaryann gets into the very basics of personal finance (which you won’t find in school textbooks 😒)

If you’ve made it here- you know compound interest FTW 🤩🥳🤩

Visit our comment section and answer a few question on interest and win 500 FamCoins ✨",11126,157,3
"interact with @tanmaybhat in his live workshop as he dives into all things money, budgeting, investments, and SO. MUCH. MORE. 🤑

LIMITED SEATS LEFT.

got your tickets yet?! 🤩 click the link in bio now 🔥",13035,87,1
"@mojorojo we took it ahead 😛

now you keep it going in the comments👇and the best ones will be pinned ✨",21656,158,1
"Out Of Syllabus: Money with @tanmaybhat on 8th Jan, 2023. Early bird tickets out on the app - GO GET YOURS NOW AND GET SMART BEFORE WE SELL OUT.

Also, 20 FREE tickets up for grabs 🤩

Drop a 🤑 in the comments below to participate or just buy a ticket 🫰",18775,1557,3
"Presenting Money with @tanmaybhat 🤩🤑🤓 - a live workshop with Tanmay where you learn

✅ all things money as a teen

✅ budget and bachat

✅ how to buy a Tesla & other investment secrets😛

& get a signed certificate from Tanmay ✨

Grab your early bird tickets now! Click the link in bio 🏃‍♀️🏃‍♂️",11301,108,3
watch till the end to find out who is the pRoViDeR of answers 😉 🥸😮,10580,58,1
"👀🤝 Your wish is our command! 

Tag @tanmaybhat or @rajshamani in the comments and we’ll get the most tagged creator to take an EXCLUSIVE session for you! 🤯 

May the “tags” be ever in your favour! 😋⏳",16185,1090,1
"admin's spotify playlist leaked 👀

you know what to do! just thank the fam & you might win super cool rewards 🎁",15115,2496,1
we’ll start- 1 maggi 1 snickers 😋,15819,1275,0
"Tag a friend and if they reply within 2 mins, both if you win FREE Google Play Recharge Codes 🤩😮🤩😮",25102,3344,4
what would you add to this list? 👀,16156,218,1
"we have answers to ALL your questions about DigiGold ⭐

head to the link in our bio to invest in DigiGold now!",11607,142,3
share these cakes with your friends 🎂👍🏻,34701,258,1
"Every 20th comment gets a FREE top-up 🤩🤩🤩

Get commenting now 🏃🏃‍♀️",33029,7375,4
"A true legend of Boat Rush, @aviraagshiva is a student of commerce, cricket-fanatic, bhujia lover and now FamPay's first Chief Gaming Officer 🤩🤩

Stay tuned to see what more's in store for him 😁",9788,83,1
Sign boards ft. You,20151,78,1
worth it 💪🏻⚽️🏏,16409,93,1
kya lagta hai? will mom give permission 🤡,11503,86,1
answer the question in the comments below and your next burger order is on us 🍔✨,14160,746,1
🐮🐄 are a moo-d 🤪,26659,165,1
"5 extra marks to those who remember the full song 😤

Inspired by @thepranitdhotre",10743,74,1
we’ll start- an eraser 🤓,15662,2580,0
"❗️It's a GIVEAWAY❗️

Decode the above equation and tell us what are we giving away in the comment section. 👀
And then run to the FamPay app to participate! 🏃🏻‍♀️",13293,403,3
got DigiGold yet?,13139,131,1
Be a real fam and drop a 🤝 in the comment section,24357,521,2
"It's Children's Day and we are on a mission to help underprivileged kids know the joy of education. ✨

Head over to the FamPay app to join us in this cause with just 500 FamCoins. 🤗",12088,92,3
"Introducing FamPlay 🤩
Head to the FamPay App, play your favourite games & win big rewards🤑 Go go go!",17923,347,3
🥱🥱🥱,12084,103,1
Think you're the perfect fit to be our CGO? Here's the checklist👆,30642,1897,1
Tap the calendar icon and spam the chat with 🎮 if you wanna be our Chief Gaming Officer! Lessgo 🎯,33334,7034,1
"manifesting a T20 World Cup win for India 🇮🇳🇮🇳🇮🇳 andddd you watching it for FREE

To win
1️⃣ recharge your phone on FamPay for a minimum of Rs 99
2️⃣ Comment ✅ below

and 20 lucky participants will win Hotstar Super subscription worth Rs 899 😍",27711,2672,2
he’s a Complan boy,32602,313,1
option 2 it is 🤭,14049,549,1
🤭🤭🤭,28365,257,1
"Tag a friend and get them to follow us and both of you could win tickets to Wakanda Forever 🤩🤩🤩

And if you just can’t wait, head to the app to buy @bookmyshowin and @pvrcinemas_official gift cards to get BIG cashbacks!",29416,5406,3
"Tag a friend and if they reply in 2 mins, both of you can win a FREE Google Play Redeem Code 🔥🔥🔥",28230,2777,4
share this with ‘that’ friend to get your money back 🤓,18233,229,0
Tag your fav classmate 😋 and both of you could design and win your own personalized notebooks 🤠,10613,647,1
🎁🎁🎁🤩✨,26843,11135,1
we’ll start- its a device to pinch the nose and see how long you can go without breathing,13843,3988,1
Drop the last digit of your phone number and you can win a FREE top up 🤩🤩,15042,1783,2
"Join @katariaaryann and @prannayjoshi in their quest for gold.....with only Rs 10 in their pockets.

Are they successful? Watch to find out.

P.S Claim FREE Digigold on the FamPay app now.",19922,228,3
"Habibi go to Dubai ✈️😎🤩

Open your lifafa on FamPay, invite your friends to FamPay and you could win a trip to Dubai 😁",19176,681,1
Happy Diwali ✨,20751,324,1
Unpopular opinion- soan papdi > kaju katli,8979,142,1
"Drop a ⭐️ emoji in the comments below and get 350  FamCoins 🤩

Guys it’s time to breakup with your piggy banks and invest in Digigold 🤩

Safe, secure and great for the long-term, you can now invest with as little as Rs 10! 

Head to the app now!",19218,5655,3
"these stunts were performed by a trained professional, please don't try at home 🤡
or anywhere 🤡",12084,394,1
it's gonna be lit ⭐⭐⭐,17508,413,1
besti 🤝,15784,399,1
What does it for ya?,13834,205,1
ISS POST KO DEKH KE LIKE NAHI KARNA IS NOT FUNNY 😤,9503,177,0
"Tag a friend and if they reply in 2 mins, both of y’all win free Google Play Recharge Codes 🤩",18973,4520,4
"iOYes 🥹🥹⭐️

Just recharge your phone on FamPay and stand a chance to win the iPhone 14 🤩

Head to the app now 🏃‍♀️",16899,328,3
We’ll start- how to get 10k likes on a post 🥺,8844,1673,0
"If you don’t know, tag a girl and ask!",12368,2819,1
Invite your Robin. 🦹🏻‍♂️,16670,239,1
What makes you go: 😖😖😖,15628,222,1
"Every 20th comment wins FREE Google Play Redeem Codes 🤩📱😁

Lets go 👇🏻👇🏻",13685,21103,4
Tell us what made you smile today. Best answers get OralB vouchers from us. ✨,9452,232,1
Money in my account,6161,81,0
"Drop the last 2 digits of your phone number and get a FREE top up 🤩 

And if you don’t want to wait, just recharge on FamPay and get 

⚡️ 2x FamCoins on every recharge
⚡️ Reminders before your plan runs out
⚡️ No hidden fees
And it only takes a minute 😏 Link in bio! 🏃",10763,4616,4
👀👀👀,4037,407,1
"Mera kuch rishta hai savings se ✨

Comment an emoji that defines your relationship status with savings 👇",6281,78,1
"Check your Recap on the FamPay app!

Share any slide and tag @fampay.in and you could win up to Rs. 500 🤩

What are you waitin' for? Head to the FamPay app now 🥳",6196,64,3
"Here's your chance to win a brand new iQOO 9 phone for just Rs.50. 🤯

- One Google Play Redeem code = 1 Ticket.
More the number of tickets, higher the chances of winning. 🔥

- Minimum purcharse of Rs.50 per transaction.

Added bonus: Get 4X FamCoins on every Google Play Redeem Code purchase + upto 1000 FamCoins for every participant. 😍

Hurry, run to the FamPay app now! 🏃🏻‍♀️",9137,138,4
We'll go first: Pizza topping 🧀,5057,1184,1
Tag a friend and get them to follow us and both of you could be eating pizza for the next 6 months with @ovenstory 🤤,8135,1716,2
"Just recharge on FamPay and get 

⚡️ 2x FamCoins on every recharge
⚡️ Reminders before your plan runs out
⚡️ No hidden fees
And it only takes a minute 😏 Link in bio! 🏃",10472,4081,4
"Everyday struggle: Trying to save, trying to spend 🥺

Ft. super adorable @magscansingg ✨",5099,103,1
"we’ll start- A series of unfortunate events 👀👀

And if you need your Astraverse fix asap, head to the link in bio to get 5% cash back on BookMyShow and 6% cash back on PVR bookings 🤩",5185,1384,0
"Just recharge on FamPay dude 🤠

⚡️ 2x FamCoins on every recharge
⚡️ Reminders before your plan runs out
⚡️ No hidden fees
And it only takes a minute 😏

Link in bio! 🏃",4459,62,4
"College student? Grab your discount 🤯

Checkout out the list of brands offering exclusive discounts ONLY for college student on FamPay. 

Click the link in bio to grab now 🔥",10162,117,1
"at least one of these is fixable 👀👀👀

Head to the FamPay app now and help us get to a 100%",3313,87,3
"On the hunt for our admin’s twin 🔍 

If you have the same money avatar as our admin, head to our stories and share to win FREE Swiggy coupons 🤠",4666,96,3
Here's your reminder to wish your teachers and mentors a happy teacher's day! 🫶🏻,5058,34,1
"Are you a future millionaire, billionaire or a trillionaire?? 

Find out along with how many rewards you’ve earned, money you’ve saved, your own personalized Avatar and more on the FamPay app 😮 😮😮

Share your recap on stories today to win Rs 500 + guaranteed FamCoins 🤠",4574,204,3
Head to the ̶A̶p̶p̶ fridge now 🏃‍♀️ 🏃🏻‍♂️,6059,106,3
"Want a FREE TOP UP? Drop the last 2 digits of your phone number below and lucky winners get a FREE top up!

And if you're just as annoyed with the Recharge dude as we are, simplyyy hurry and recharge on FamPay 😩

⚡️ 2x FamCoins on every recharge
⚡️ Reminders before your plan runs out
⚡️ No hidden fees
And it only takes a minute 😏 Link in bio! 🏃",12595,11569,4
Last slide tho 🫣😭,7117,74,1
be nice to the Admin in the comments ⬇️ and be featured in the next post!,5020,195,1
complete the sentence in the comments 👇🏻 and if someone's done it they have to like your comment 🤠🤠🤠,3840,289,2
we know you’re not reading this because you’ve clicked the link in bio and done your data top-up and gotten a cashback 🤠🤠,3740,56,1
"LIMITED PERIOD OFFER!!

Get flat 20% cashback on your first 1 GB or 2 GB data top up with FamPay. 

Link in bio- GO 🏃‍♀️ 🏃🏻‍♂️ 🏃‍♀️",4537,80,1
"Play, don't get played! Just recharge on FamPay dude 😩

⚡️ 2x FamCoins on every recharge
⚡️ Reminders before your plan runs out
⚡️ No hidden fees
And it only takes a minute 😏 Link in bio! 🏃

PS. Want a FREE TOP UP? Comment 📱below  and every 20th comment wins a FREE topup!",4614,843,4
1 like = 1 prayer,4633,67,0
"Win guaranteed Rs 50 and upto Rs 5000 when you refer a friend to FamPay 🤠🤠🤠

Btw your friend is crazy if they aren’t on FamPay yet!",13136,335,2
"Missing your date because of data? 

Just recharge on FamPay dude 😩
⚡️ 2x FamCoins on every recharge
⚡️ Reminders before your plan runs out
⚡️ No hidden fees
And it only takes a minute 😏

Link in bio! 🏃",4164,72,4
"if u know 👏 👏 👏 
if u don’t know, tag a girl and let her explain",5733,1619,1
"Free top-up incoming 🥳🥳
Drop the last 2 digits of your phone number and you could win a FREE top-up!

Btw if y’all don’t want a brick for a phone, recharge with FamPay!
⭐️ 2x FamCoins on every recharge 
⭐️ reminders before your plan runs out
⭐️ no hidden fees",15640,9666,4
"Happy Independence Day 🧡🤍💚

Tell us what freedom means to you 👇",3883,69,1
"Don’t wanna end up like Aryan? 👀
Then just recharge on FamPay dude 😩
⚡️ 2x FamCoins on every recharge
⚡️ Reminders before your plan runs out
⚡️ No hidden fees
And it only takes a minute 😏

PS. Want a FREE TOP UP?
Tag a friend in the comments, and if they reply in 2 minutes your top up is on us! 🤑
Go go go! 🏃",10345,640,4
Brothers how light is your wallet today?,5626,43,1
"📣 PUNE FAM!
Think your school is the best in Pune?
Prove it by taking part in our SchoolLIT challenge! 😤

✨ Make your school financially LIT, donate meals, and win lots of rewards (including a hoarding of your school 👀!)
Head to the FamPay app to enter the challenge now!",3184,69,3
AM gang so jao yaar 😒😒,5711,53,1
"The reality check we didn't need 😭 

Drop in a reality check in the comments & we'll pin the best 5!",4520,80,1
"It’s Friendship Day soon 👯‍♀️♥️

and this time we wanted to do something special for our best friends 😄

Gift a meal to dogs by simply burning 1000 FamCoins.

1000 coins = 1 Doggo meal 🐶 

Click the link in bio to feed our furry friends now!",7254,91,1
tell us how many doodles you see and win 500 FamCoins 🤑,11801,281,2
plot twist- this is a blank post,3314,126,1
"Bore ho raha tha yaar, socha thoda drama create kar dete hai 👀🍿",2709,397,1
Also (a+b) whole squared and that reel song that I can’t stop thinking about 😭,3792,84,1
"Win the COOLEST Merch and upto Rs.5000, last 3 days to participate, hurry click on the link in bio 🥵🚨

#reelitfeelit #giveawayalertindia #reelkarofeelkaro #reelit",3460,79,3
Tag a 'Little miss never returns money on time' 😤,6118,154,1
"COOLEST MERCH GIVEAWAY 🥵⚡️

Drop in your referral code in the comments below and if two people join through your referral code today, you will stand a chance of winning a set of our Merch. 😍

Hurry, click on the link in bio to start referring and earn reward upto Rs.5000 + GUARANTEED Rs. 50 on every referral!🏃🏻‍♀️",7585,3329,3
"It's DRIPPIN' 🔥
Here's your chance  to win the coolest merch in town. 😮‍💨🤌🏻

Also, tell us your favourite item from this drop in the comments!

Click on the link in bio to participate like rn. Go. Run. Hurryyyy 🏃🏻‍♀️",4829,451,3
"Tag a friend and if they reply in 2 mins, both of y’all win free Google Play Recharge Codes 🤩",4318,1099,4
"Bhai ek plate mental peace laga do, bestie gossip sesh thoda zyada daalna",3140,102,1
You might love @salonayyy but she kinda hates you. Watch this to find why 👀,5206,120,1
Hey (with the intention of getting you to like this post),3197,71,0
"Tag a friend and if they reply in 2 mins, both of y’all win free Google Play Recharge Codes 🤩",12455,12545,4
"Warning: the above post features cash and was used by marketing professionals only.

Do not try to use at home (or elsewhere) 😆 👀",5249,95,0
vibing to this after impulsive shopping hits different ✨,3720,68,1
"Tag a friend and if they reply in 2 mins, both of y’all win free Google Play Recharge Codes 🤩",8820,7349,4
"How to reply to someone who’s asking for their own money back ✅

Tag that friend who owes you money and our admin will (try) to get your money back 👍",3282,150,0
"Is ur bestie actually ur bestie? 

Click the link in bio create your own CloseFrens quiz and find out 😳",3301,59,1
only this will save my dad from vecna’s curse 🥸,6435,81,1
Free. Google. Play. Recharge. Codes.,16572,15486,4
"Will the real Close Fren please stand up? 

Click on the link in bio to create your own CloseFrens quiz and put your besties on the hot-seat. 😏",5523,92,1
we just want you to write that you’re a 10🥺✨,3307,497,1
go ahead continue this in the comment section 👀 🫵,3674,109,2
"QRs can be QTs too! 🥺🧡

Time to escape the black & white! Time to get out of Raju's parivaar. Choose from a selection of super-cool QR themes - update the app to check it out now ✨

Tell us what other themes you'd like to see 👇

FYI: remember, we're the first ones to bring it to you ❤️",4920,121,1
tag the craziest gamer you know 👀,4123,181,1
"Your friends are not that useless afterall. 😉

Here's your chance to win an iPhone 13 by just referring your friends. Tag them and ask them to help you. 😍💪🏻

Visit the 'Rewards' section on the FamPay app to participate now! 🏃‍♂️

- You can get a maximum of 10 tickets. 
- Referral will only be counted after they have completed their verification process.",6942,456,3
they'll tell you this is called a set square but wont ever talk about it literally being a triangle 😭,3266,515,1
How not to celebrate Father’s Day ft @maisamayhoon!,5130,141,1
likes are great but comments hit different 🫶,4885,101,0
"@ayxsshhh._ here! You heard me right 😲👀

I’m dropping Google Play Recharge Codes worth upto Rs 100 in the comments👇 every 30 mins!

Be the first one to grab it 🏃 Limited Codes available!",13039,4854,4
wait let me just get my drink and popcorn 🍿🧃,3639,819,1
Inka toh sorted hai 🌟,3826,140,1
but my wholesome trait is acknowledging these 🥰✨,3170,66,1
and i just want you to smile when you read this 🫵💕,6670,304,1
what are you listening to rn? 👀🎵,3324,67,1
"Let us show you how easy it is to buy Google Play Recharge Codes on FamPay 😌

And here’s the deal.
We give you: Free Google Play Recharge codes
You give us: comments on this post

Start commenting below and every 50th comment gets a FREE recharge code!",4919,2578,4
"We're siri-ous 🥺🥺

Head over to the FamPay app and join our giveaway to stand a chance to win the 🍔📘💨

All participants also win a cashback of upto Rs. 50🙌

What are you still doing here👀",4290,696,3
where our #btsarmy at ?? 💜,3845,398,1
you know what we’re saying?!,8037,159,1
I don't even understand what I don't understand about maths 😩,3642,154,1
and it’s vice-versa when ya’ll drop comments✨,3897,69,1
"Tag your binge-watch buddy and stand a chance to win this projector if they follow us 🍿 🎥 🤩 

Pssst… it’s the last giveaway of Fridays For The Win season 2 so be sureeee to participate 👇🏻",5376,2088,3
arey tumko kitni baar bola hai like nahi comment karo 🥵,4302,145,1
why is it food and why is it @swiggyindia ?? 🤨,4219,581,1
"Trigger Warning:
Swipe ONLY if you've got friends ☠️

Refer your friends to the FamPay app now and win:
💸Flat Rs.50 as soon as they sign up
💸Upto Rs. 5000 for you and your friend!

Drop your referral code in the comments and tag your friends who still don't use FamPay to win guaranteed cash rewards🤑",7308,758,2
feel free to report “us moment” in the comments 🫡,3618,1133,2
"Yeppp 10 of y’all can win 6 months of Spotify Premium subscription 🎶 🎧 

All you gotta do is comment your favorite artist's name letter by letter.

Let’s go 👇🏻👇🏻",4422,6403,2
what do you miss the most? 🥺👉🏻👈🏻,7748,232,1
time to shine 🎤🫵,4404,1470,1
Tag 'em traitors 😏,3517,48,1
"i will not only comment, i will have friends to share this with 😭",6629,147,2
"Congratulations 🥳 @the_creativepallete03 for winning the iPhone 12 giveaway 😁 

Head to the FamPay app for more such exciting giveaways, offers and discounts from your favourite brands 🏃‍♀️",6859,211,3
"show us how creative ya’ll can get, 
we’ll start : 😳🕶🤏",5471,124,1
bet you’d comment if u saw this post 💯,5901,137,2
"Our admin is taking a day off to celebrate FamPay reaching 100k ⭐️ 💃🏻 

YOU can take their place for a day and run our IG, get exclusive merch, get paid and more fun stuff😎 

Head to our 5th post from now (I am Admin) to participate now. Results to be announced on 27th May 😀",4227,198,3
"Enter the PS5 giveaway on the app. Buy your tickets. Win the gaming console of your dreams. 🎮💜

ONLY 4 DAYS TO GO! Head to the app now 🏃‍♀️ 🏃🏻‍♂️",3050,103,3
cant imagine stranger things without dustin i swear,2922,100,1
"Tag the friends who are always late and get them to follow us 🏃🏻‍♂️

The comment with the most follows wins this @casio.india watch so you can set it to your friends standard time 👍",3322,691,2
nothing can come between us and our blue lays🙅🤺,5719,126,1
"can't spell hundred without all of U🥺👉👈

To celebrate 100K, we wanna welcome ONE of you to the Fam🤝🧡

Swipe to follow the instructions and you could become co-admin for a day😳😳

All 100K of y'all also have a chance to earn upto Rs. 5000! Refer your friends to the app and win a guaranteed Rs. 100 when they join💸

Start checking off your to-do list now by commenting below👇🏻💨",7858,1224,2
"We'll give you 3 letters for your guess 👀 👀

Tell us in the comments below why you love this comeback and the most liked comment wins Airpods ✨ 😳

🤩 Stay tuned to our page all week for exciting announcements coming your way (might have something to do with a 100 😉)",6672,4557,2
top 5 lucky numbers get as many FamCoins 🤙🏼,4135,2416,2
🤏 close to 100K followers really giving us night before birthday vibes 😭✨,3759,827,1
Spam the comments with a 👟 emoji and two of y’all with the longest unbroken chain wins @vans sneakers 😳 👇🏻,3171,17966,2
"really made wearing all black our entire personality💁‍♀️

Tag the influencer of your group and 10 lucky winners can win 2000 FamCoins✨👇🏻",3810,102,2
c =  laziness cuz laziness is the only constant,3528,65,1
good old days 😭🤌,2577,329,1
