Name,LinkedIn URL,Linkedin Info,Header,Twitter URL,Twitter Info,Twitter ID,
Shagun Khemka,https://linkedin.com/in/shagun-khemka,An experienced software developer who loves developing quality systems that solves day-to-day challenges.  Learn more about Shagun Khemka's work experience ...,Shagun Khemka - Engineering Team - FamPay,https://twitter.com/shagun_p,"""Seven brief lessons on physics"". By Carlo Rovelli First book of 2019. Never imagined physics could really be that interesting.... 2. Shagun Khemka.",Shagun Khemka (@shagun_p) / Twitter,"| Shagun Khemka | https://linkedin.com/in/shagun-khemka | An experienced software developer who loves developing quality systems that solves day-to-day challenges.  Learn more about Shagun Khemka's work experience ... | Shagun Khemka - Engineering Team - FamPay | https://twitter.com/shagun_p | ""Seven brief lessons on physics"". By Carlo Rovelli First book of 2019. Never imagined physics could really be that interesting.... 2. Shagun Khemka. | Shagun Khemka (@shagun_p) / Twitter"
Anchit Shukla,https://linkedin.com/in/anchit96,Co-founded Design Studio with an aim to foster innovation and design on campus. • Managing end-to-end design and development of both tangible as well as ...,Anchit Shukla - Founding Team - FamPay,https://twitter.com/anchit96,0,Anchit Shukla 🤹 (@anchit96) / Twitter,| Anchit Shukla | https://linkedin.com/in/anchit96 | Co-founded Design Studio with an aim to foster innovation and design on campus. • Managing end-to-end design and development of both tangible as well as ... | Anchit Shukla - Founding Team - FamPay | https://twitter.com/anchit96 | 0 | Anchit Shukla 🤹 (@anchit96) / Twitter
Harjot Singh Oberai,https://linkedin.com/in/harjot-singh-oberai-b6b055140,Harjot Singh Oberai · Founding Team at FamPay  Building the future of finance one GenZ at a time · Report · Report · Experience · Education · Projects · People also ...,Harjot Singh Oberai - Founding Team - FamPay,https://twitter.com/harjot_oberai,"See new Tweets. Opens profile photo. Follow. Click to Follow harjot_oberai. Harjot Singh Oberai. @harjot_oberai. Bengaluru, India Joined March 2020.",Harjot Singh Oberai (@harjot_oberai) / Twitter,"| Harjot Singh Oberai | https://linkedin.com/in/harjot-singh-oberai-b6b055140 | Harjot Singh Oberai · Founding Team at FamPay  Building the future of finance one GenZ at a time · Report · Report · Experience · Education · Projects · People also ... | Harjot Singh Oberai - Founding Team - FamPay | https://twitter.com/harjot_oberai | See new Tweets. Opens profile photo. Follow. Click to Follow harjot_oberai. Harjot Singh Oberai. @harjot_oberai. Bengaluru, India Joined March 2020. | Harjot Singh Oberai (@harjot_oberai) / Twitter"
Fatema Raja,https://linkedin.com/in/fatema-raja-336ba951,"I am a UX designer who is constantly channelising all the energy and design intentions in creating digital brand and product experiences that people love, ...",Fatema Raja - Design Leadership - FamPay,https://twitter.com/fatemajraja,0,Fatema Raja (@fatemajraja) / Twitter,"| Fatema Raja | https://linkedin.com/in/fatema-raja-336ba951 | I am a UX designer who is constantly channelising all the energy and design intentions in creating digital brand and product experiences that people love, ... | Fatema Raja - Design Leadership - FamPay | https://twitter.com/fatemajraja | 0 | Fatema Raja (@fatemajraja) / Twitter"
Agniva Si,https://linkedin.com/in/agnivasil,"An individual with a flair for writing, a knack for languages and an insatiable appetite for all things tech. A firm believer in the tenets of self-reliance ...",Agniva Sil - Associate Director - Publicis Media,https://twitter.com/agniva_si,A list of carefully selected resources to help you begin your design education. ✨. Show this thread.,Agni 🔥 (@agniva_si) / Twitter,"| Agniva Si | https://linkedin.com/in/agnivasil | An individual with a flair for writing, a knack for languages and an insatiable appetite for all things tech. A firm believer in the tenets of self-reliance ... | Agniva Sil - Associate Director - Publicis Media | https://twitter.com/agniva_si | A list of carefully selected resources to help you begin your design education. ✨. Show this thread. | Agni 🔥 (@agniva_si) / Twitter"
Cameron Campbell,https://linkedin.com/in/coach-cam,"Cameron ""Coach Cam"" Campbell. Social Entrepreneur. Innovator. Servant. Democratic Candidate for Texas State Representative HD132. Texas House of Representatives ...","Cameron ""Coach Cam"" Campbell - Democratic Candidate",https://twitter.com/camcampbell2023,0,Cameron Campbell (@CamCampbell2023) / Twitter,"| Cameron Campbell | https://linkedin.com/in/coach-cam | Cameron ""Coach Cam"" Campbell. Social Entrepreneur. Innovator. Servant. Democratic Candidate for Texas State Representative HD132. Texas House of Representatives ... | Cameron ""Coach Cam"" Campbell - Democratic Candidate | https://twitter.com/camcampbell2023 | 0 | Cameron Campbell (@CamCampbell2023) / Twitter"
Ridima Bhargava,https://linkedin.com/in/ridima-bhargava-7457bb74,"Dual-qualified, award winning lawyer in India and Canada, with 15+ years of experience in corporate-commercial law, contract negotiations, risk mitigation, real ...",Ridima Bhargava - General Counsel & Public Policy,https://twitter.com/Ridhz_82,"My Choice of Colour Combo this season. Black is the original gangster, orange is perfect for spring and white as always is the most valuable player.",Ridhima Bhargava (@Ridhz_82) / Twitter,"| Ridima Bhargava | https://linkedin.com/in/ridima-bhargava-7457bb74 | Dual-qualified, award winning lawyer in India and Canada, with 15+ years of experience in corporate-commercial law, contract negotiations, risk mitigation, real ... | Ridima Bhargava - General Counsel & Public Policy | https://twitter.com/Ridhz_82 | My Choice of Colour Combo this season. Black is the original gangster, orange is perfect for spring and white as always is the most valuable player. | Ridhima Bhargava (@Ridhz_82) / Twitter"
Shikhar Tyagi,https://linkedin.com/in/shikhar-tyagi-6644ab12,Shikhar Tyagi · Vice President at Olam International Ltd. · Report · Report · Experience · Education · Licenses & Certifications · Honors & Awards · Languages ...,Shikhar Tyagi - Vice President - Olam,https://twitter.com/tyagishikhar,"Often confused with Batman. YNWA. PSU Alum. Gurgaon, India Joined ...",Shikhar Tyagi (@tyagishikhar) / Twitter,"| Shikhar Tyagi | https://linkedin.com/in/shikhar-tyagi-6644ab12 | Shikhar Tyagi · Vice President at Olam International Ltd. · Report · Report · Experience · Education · Licenses & Certifications · Honors & Awards · Languages ... | Shikhar Tyagi - Vice President - Olam | https://twitter.com/tyagishikhar | Often confused with Batman. YNWA. PSU Alum. Gurgaon, India Joined ... | Shikhar Tyagi (@tyagishikhar) / Twitter"
Sandeep Singh,https://linkedin.com/in/sandeep-singh-b09775/,"View Sandeep Singh's professional profile on LinkedIn. LinkedIn is the world's largest business network, helping professionals like Sandeep Singh discover ...","Sandeep Singh - Sunnyvale, California, United States",https://twitter.com/Tweetsandeep,ICIJ appoints Indian journalist and long-time ICIJ member Ritu Sarin to board - well deserved!!,Sandeep Singh (@Tweetsandeep) / Twitter,"| Sandeep Singh | https://linkedin.com/in/sandeep-singh-b09775/ | View Sandeep Singh's professional profile on LinkedIn. LinkedIn is the world's largest business network, helping professionals like Sandeep Singh discover ... | Sandeep Singh - Sunnyvale, California, United States | https://twitter.com/Tweetsandeep | ICIJ appoints Indian journalist and long-time ICIJ member Ritu Sarin to board - well deserved!! | Sandeep Singh (@Tweetsandeep) / Twitter"
Vaibhavi,https://linkedin.com/in/vaibhavig,"20+ years of experience spanning corporate training, school curricula, summer camps and volunteer work. Where I thrive: Environments that demand a blend of ...",Vaibhavi Gala - Founder and CEO - Imagineerz Learning ...,https://twitter.com/I_am_Vaibhavi,0,Vaibhavi Shandilya (@I_am_Vaibhavi) / Twitter,"| Vaibhavi | https://linkedin.com/in/vaibhavig | 20+ years of experience spanning corporate training, school curricula, summer camps and volunteer work. Where I thrive: Environments that demand a blend of ... | Vaibhavi Gala - Founder and CEO - Imagineerz Learning ... | https://twitter.com/I_am_Vaibhavi | 0 | Vaibhavi Shandilya (@I_am_Vaibhavi) / Twitter"
Arvind Prashanth,https://linkedin.com/in/arvind-prashanth-2a7a9315b,"Program management l Data analysis l Problem solving l Customer success. Liaise between Operations, Product and Tech teams for Platform Experience feature ...",Arvind Prashanth - Product team - FamPay,https://twitter.com/aurbii,"Aravind Prashanth. @aurbii. Engineer  creative designer  photographer  climate activist . Bengaluru, India Joined January 2017.",aurbii - Aravind Prashanth,"| Arvind Prashanth | https://linkedin.com/in/arvind-prashanth-2a7a9315b | Program management l Data analysis l Problem solving l Customer success. Liaise between Operations, Product and Tech teams for Platform Experience feature ... | Arvind Prashanth - Product team - FamPay | https://twitter.com/aurbii | Aravind Prashanth. @aurbii. Engineer  creative designer  photographer  climate activist . Bengaluru, India Joined January 2017. | aurbii - Aravind Prashanth"
Janani Sathviga,https://linkedin.com/in/janani-sathviga-a39028119,"Strongly believe in ""Find your passion, and it's no longer work"". I get a kick out of placing passionate folks at Almabase or other places of interest.",Janani Sathviga - Director - People Success - Almabase,https://twitter.com/_reculta,Introducing Janani Sathviga. She joins the Business Development team at Reculta and will be working out of Pune.,Reculta,"| Janani Sathviga | https://linkedin.com/in/janani-sathviga-a39028119 | Strongly believe in ""Find your passion, and it's no longer work"". I get a kick out of placing passionate folks at Almabase or other places of interest. | Janani Sathviga - Director - People Success - Almabase | https://twitter.com/_reculta | Introducing Janani Sathviga. She joins the Business Development team at Reculta and will be working out of Pune. | Reculta"
Saransh,https://linkedin.com/in/saranshchhibber,"Experienced Architect with a demonstrated history of working in the financial services industry. Strong engineering professional skilled in Nodejs, Python, HTML ...",Saransh Chhibber - Software Development Manager - Oracle,https://twitter.com/SaranshGoila,"Chef Saransh Goila on conceptualising 'Safarnama', the 100-step advanced pressure test he ... Saransh and his team ""took 8-10 tries to perfect Safarnama"".",Saransh Goila (@SaranshGoila) / Twitter,"| Saransh | https://linkedin.com/in/saranshchhibber | Experienced Architect with a demonstrated history of working in the financial services industry. Strong engineering professional skilled in Nodejs, Python, HTML ... | Saransh Chhibber - Software Development Manager - Oracle | https://twitter.com/SaranshGoila | Chef Saransh Goila on conceptualising 'Safarnama', the 100-step advanced pressure test he ... Saransh and his team ""took 8-10 tries to perfect Safarnama"". | Saransh Goila (@SaranshGoila) / Twitter"
Sai Prem,https://linkedin.com/in/sai-prem-6b9066192,Sai Prem. Neuroscience @ Washington University in St. Louis  Vagelos Fellow. Washington University School of Medicine in St. LouisWashington University in ...,Sai Prem - Student Researcher - Washington University ...,https://twitter.com/saiprem70261384,"Sai Prem · @SaiPrem70261384. ·. May 10, 2022. Girls attitude is same a boy loves a girl senserily and the the girl leves a boy in the middle of the way boys ...",Sai Prem (@SaiPrem70261384) / Twitter,"| Sai Prem | https://linkedin.com/in/sai-prem-6b9066192 | Sai Prem. Neuroscience @ Washington University in St. Louis  Vagelos Fellow. Washington University School of Medicine in St. LouisWashington University in ... | Sai Prem - Student Researcher - Washington University ... | https://twitter.com/saiprem70261384 | Sai Prem · @SaiPrem70261384. ·. May 10, 2022. Girls attitude is same a boy loves a girl senserily and the the girl leves a boy in the middle of the way boys ... | Sai Prem (@SaiPrem70261384) / Twitter"
Ashmeet Lamba,https://linkedin.com/in/ashmeet-singh-lamba,"Ashmeet Singh Lamba. Student at IITM Janakpuri  Institute of Information Technology & Management. Delhi, India · Ashmeet Lamba. Business Owner at Own businees.",Ashmeet Lamba - Engineering Team - FamPay,https://twitter.com/ashmeetl13,"We are building a “God Mode” for businesses to solve their ops challenges. We are doing this at scale & working w clients across the Twitter fam, ...",Ashmeet Lamba (@ashmeetl13) / Twitter,"| Ashmeet Lamba | https://linkedin.com/in/ashmeet-singh-lamba | Ashmeet Singh Lamba. Student at IITM Janakpuri  Institute of Information Technology & Management. Delhi, India · Ashmeet Lamba. Business Owner at Own businees. | Ashmeet Lamba - Engineering Team - FamPay | https://twitter.com/ashmeetl13 | We are building a “God Mode” for businesses to solve their ops challenges. We are doing this at scale & working w clients across the Twitter fam, ... | Ashmeet Lamba (@ashmeetl13) / Twitter"
Archit Agrawal,https://linkedin.com/in/archit09,"Archit Agrawal. Software Engineer. AmazonUniversity of Delaware. Palo Alto, California, United States. 587 followers ...",Archit Agrawal - SDE II (MLE) - Ad Response Prediction ...,https://twitter.com/architlost,"@satshyaa, host of Chumma Conversations with Satshyaa, making 3 AM convos great again! twitter.com/spotifypodcast… 1. 1. Archit Agarwal Retweeted.",Archit Agarwal (@architlost) / Twitter,"| Archit Agrawal | https://linkedin.com/in/archit09 | Archit Agrawal. Software Engineer. AmazonUniversity of Delaware. Palo Alto, California, United States. 587 followers ... | Archit Agrawal - SDE II (MLE) - Ad Response Prediction ... | https://twitter.com/architlost | @satshyaa, host of Chumma Conversations with Satshyaa, making 3 AM convos great again! twitter.com/spotifypodcast… 1. 1. Archit Agarwal Retweeted. | Archit Agarwal (@architlost) / Twitter"
Aniket Biswas,https://linkedin.com/in/aniket-biswas-a1251a44,"Invented (patent pending) implantable biosensors to monitor physiologically relevant biomarkers (e.g. glucose, lactate). ... Led research teams on multiple ...",Aniket Biswas - Process Development Engineer - Intel ...,https://twitter.com/aniket__biswas,"Aniket Biswas's Tweets ; Forbes India · @ForbesIndia · Mar 8 · 2. 9 ; Aarz-e-ishq · @Aarzaai_Ishq · Jan 23 · 15. 521 ; Ryan Holiday · @RyanHoliday · Dec 29, 2022 · 17.",Aniket Biswas (@aniket__biswas) ...,"| Aniket Biswas | https://linkedin.com/in/aniket-biswas-a1251a44 | Invented (patent pending) implantable biosensors to monitor physiologically relevant biomarkers (e.g. glucose, lactate). ... Led research teams on multiple ... | Aniket Biswas - Process Development Engineer - Intel ... | https://twitter.com/aniket__biswas | Aniket Biswas's Tweets ; Forbes India · @ForbesIndia · Mar 8 · 2. 9 ; Aarz-e-ishq · @Aarzaai_Ishq · Jan 23 · 15. 521 ; Ryan Holiday · @RyanHoliday · Dec 29, 2022 · 17. | Aniket Biswas (@aniket__biswas) ..."
Anuj Rawat,https://linkedin.com/in/anuj-rawat-4339b51a,"Over 13 years of experience in development, deployment, maintenance, and support of large production software with demonstrated history of delivering ...",Anuj Rawat - Machine Learning Systems Software,https://twitter.com/cavenuji,Anuj Rawat. @cavenuji. Professor at The Derek Zoolander Center for Kids Who Can't Read Good and Wanna Learn to Do Other Stuff Good Too.,cavenuji - Anuj Rawat,"| Anuj Rawat | https://linkedin.com/in/anuj-rawat-4339b51a | Over 13 years of experience in development, deployment, maintenance, and support of large production software with demonstrated history of delivering ... | Anuj Rawat - Machine Learning Systems Software | https://twitter.com/cavenuji | Anuj Rawat. @cavenuji. Professor at The Derek Zoolander Center for Kids Who Can't Read Good and Wanna Learn to Do Other Stuff Good Too. | cavenuji - Anuj Rawat"
Soumik,https://linkedin.com/in/soumik01,"“Soumik is very good at problem solving, has an excellent understanding of imaging principles and is a great team player. He is very dependable and takes ...",Soumik Ukil - CEO and Co Founder - LightMetrics,https://twitter.com/Soumik_Datta,"Soumik: sarod & creative musician Winner ... Joanna Marsh and Soumik Datta, alongside one of the highlights of the French choral repertoire, the.",Soumik Datta / Arts (@Soumik_Datta) / Twitter,"| Soumik | https://linkedin.com/in/soumik01 | “Soumik is very good at problem solving, has an excellent understanding of imaging principles and is a great team player. He is very dependable and takes ... | Soumik Ukil - CEO and Co Founder - LightMetrics | https://twitter.com/Soumik_Datta | Soumik: sarod & creative musician Winner ... Joanna Marsh and Soumik Datta, alongside one of the highlights of the French choral repertoire, the. | Soumik Datta / Arts (@Soumik_Datta) / Twitter"
Shifa Kareem,https://linkedin.com/in/shifakareem,Currently working to build the best customer experience at Edfundo. What is Edfundo? Edfundo is an all in one money management app for teens.,Shifa Kareem - Customer Success - Edfundo,https://twitter.com/Shifakareem3,Shifa kareem. @Shifakareem3. Business development executive at e2eHiring  Market Research  Website and Social Media Networking  Product Management ...,Shifa kareem (@Shifakareem3) / Twitter,| Shifa Kareem | https://linkedin.com/in/shifakareem | Currently working to build the best customer experience at Edfundo. What is Edfundo? Edfundo is an all in one money management app for teens. | Shifa Kareem - Customer Success - Edfundo | https://twitter.com/Shifakareem3 | Shifa kareem. @Shifakareem3. Business development executive at e2eHiring  Market Research  Website and Social Media Networking  Product Management ... | Shifa kareem (@Shifakareem3) / Twitter
KD Diya Kaveramma,https://linkedin.com/in/kddiyakaveramma,"View K.D. Diya Kaveramma's profile on LinkedIn, the world's largest professional community. K.D. Diya has 6 jobs listed on their profile.",K.D. Diya Kaveramma - Marketing and Copywriting - Fam,0,0,0,"| KD Diya Kaveramma | https://linkedin.com/in/kddiyakaveramma | View K.D. Diya Kaveramma's profile on LinkedIn, the world's largest professional community. K.D. Diya has 6 jobs listed on their profile. | K.D. Diya Kaveramma - Marketing and Copywriting - Fam | 0 | 0 | 0"
Ayush Bansal,https://linkedin.com/in/bansal-ayush,Worked in foreign exchange & mutual fund group; responsible for preparing documentation & efficiency analysis for four Indian private sector banks that owned ...,Ayush Bansal - Senior Software Development Engineer,https://twitter.com/aayushbansal,"Do you want to work with the world's highest quality data for neural rendering of avatars, audio, and spaces? Now is your chance to apply for summer internships ...",Aayush Bansal (@aayushbansal) / Twitter,"| Ayush Bansal | https://linkedin.com/in/bansal-ayush | Worked in foreign exchange & mutual fund group; responsible for preparing documentation & efficiency analysis for four Indian private sector banks that owned ... | Ayush Bansal - Senior Software Development Engineer | https://twitter.com/aayushbansal | Do you want to work with the world's highest quality data for neural rendering of avatars, audio, and spaces? Now is your chance to apply for summer internships ... | Aayush Bansal (@aayushbansal) / Twitter"
Jaskeerat Singh Randhawa,https://linkedin.com/in/jaskeerat-singh-randhawa-bb739416a,"Experienced Technical Specialist with a demonstrated history of working in the computer software industry. Skilled in Firebase, Python (Programming ...",Jaskeerat Singh Randhawa - DevOps Engineer - FamPay,https://twitter.com/jaskee789,Jaskeerat Singh Randhawa's Tweets ; ThePrimeagen · @ThePrimeagen · Mar 20 · 211. 116 ; YK aka CS Dojo · @ykdojo · Feb 5 · 47. 63 ; Sem¹ · @Semmieeef1 · Jan 15 · 14. 121.,jaskee789 - Jaskeerat Singh Randhawa,"| Jaskeerat Singh Randhawa | https://linkedin.com/in/jaskeerat-singh-randhawa-bb739416a | Experienced Technical Specialist with a demonstrated history of working in the computer software industry. Skilled in Firebase, Python (Programming ... | Jaskeerat Singh Randhawa - DevOps Engineer - FamPay | https://twitter.com/jaskee789 | Jaskeerat Singh Randhawa's Tweets ; ThePrimeagen · @ThePrimeagen · Mar 20 · 211. 116 ; YK aka CS Dojo · @ykdojo · Feb 5 · 47. 63 ; Sem¹ · @Semmieeef1 · Jan 15 · 14. 121. | jaskee789 - Jaskeerat Singh Randhawa"
