at,score
2022-08-15,2.458827480485579
2022-08-16,2.7544871953635353
2022-08-17,3.007830418770358
2022-08-18,3.259323490915605
2022-08-19,3.5607748865498254
2022-08-20,3.8319119127888928
2022-08-21,4.105583603034194
2022-08-22,4.107841876248632
2022-08-23,4.101792550981067
2022-08-24,4.1156116179886695
2022-08-25,4.097768527575247
2022-08-26,4.060088869939568
2022-08-27,4.092164695106123
2022-08-28,4.105170094109438
2022-08-29,4.071678352173298
2022-08-30,4.0077066096301275
2022-08-31,3.9828267494291656
2022-09-01,4.000180048132958
2022-09-02,4.038419493395599
2022-09-03,4.025682832466168
2022-09-04,4.0156607954823595
2022-09-05,4.0241646474497275
2022-09-06,4.109745033450281
2022-09-07,4.112890511825117
2022-09-08,4.098188811858108
2022-09-09,4.083397837328762
2022-09-10,4.050449170396807
2022-09-11,4.062336382284019
2022-09-12,4.08296491444686
2022-09-13,4.075352409985617
2022-09-14,4.068574138287265
2022-09-15,4.051662732861009
2022-09-16,3.99494180262845
2022-09-17,4.004768632269629
2022-09-18,4.005952363045196
2022-09-19,4.014793315047984
2022-09-20,4.025859832693449
2022-09-21,4.026691505568785
2022-09-22,4.083421561227412
2022-09-23,4.130078077125307
2022-09-24,4.138996301936607
2022-09-25,4.1074729783214465
2022-09-26,4.038924650428846
2022-09-27,4.038143661128399
2022-09-28,4.06503441743092
2022-09-29,4.052232074271434
2022-09-30,4.10052011523311
2022-10-01,4.081173363867315
2022-10-02,4.114679508260556
2022-10-03,4.179619703740738
2022-10-04,4.169343638640476
2022-10-05,4.117756843401773
2022-10-06,4.018524182686291
2022-10-07,3.9972425856214175
2022-10-08,4.029397429819239
2022-10-09,4.041270519593892
2022-10-10,3.9465249069898882
2022-10-11,3.969055658420896
2022-10-12,4.002620016258242
2022-10-13,4.101194635979548
2022-10-14,4.102970700575097
2022-10-15,4.0468539049516075
2022-10-16,4.044810068526625
2022-10-17,4.131616492461709
2022-10-18,3.9519714868783375
2022-10-19,3.945014701821479
2022-10-20,3.9563592396366047
2022-10-21,3.9680646865942224
2022-10-22,4.021522310681754
2022-10-23,3.980993035387822
2022-10-24,3.9793668517731655
2022-10-25,4.090681078597526
2022-10-26,4.039264117582351
2022-10-27,4.005625244165549
2022-10-28,3.9497369181685964
2022-10-29,3.946471656577503
2022-10-30,3.967006992373542
2022-10-31,3.959629943193214
2022-11-01,4.002702563769043
2022-11-02,4.016751995510579
2022-11-03,3.998490341274459
2022-11-04,4.00465218534154
2022-11-05,3.9699156695108972
2022-11-06,3.9659303113701534
2022-11-07,3.964483831138717
2022-11-08,3.909410015212038
2022-11-09,3.935921099343519
2022-11-10,3.8647616698757625
2022-11-11,3.84216647514942
2022-11-12,3.8370523857806798
2022-11-13,3.845648546982937
2022-11-14,3.8517383903276827
2022-11-15,3.8920496902081476
2022-11-16,3.8845740385027305
2022-11-17,3.9982987531465293
2022-11-18,4.043589575831658
2022-11-19,4.046080184674552
2022-11-20,4.016897764637861
2022-11-21,3.99993448100791
2022-11-22,3.9986075506401604
2022-11-23,4.032114948377324
2022-11-24,4.029063013761143
2022-11-25,4.044340883952847
2022-11-26,4.091269895974297
2022-11-27,4.025510258786088
2022-11-28,4.0303092692993845
2022-11-29,4.051199679160927
2022-11-30,4.026682941772902
2022-12-01,3.992210422606506
2022-12-02,3.9794421071415136
2022-12-03,3.9775053003010123
2022-12-04,4.034946006313147
2022-12-05,4.050423116075971
2022-12-06,4.059012587478403
2022-12-07,4.098813699485841
2022-12-08,4.043130273233134
2022-12-09,4.011809513003487
2022-12-10,3.9530885770258593
2022-12-11,3.907213768400717
2022-12-12,3.8862590474459955
2022-12-13,3.803479036961984
2022-12-14,3.7570034624583615
2022-12-15,3.74913037660236
2022-12-16,3.7059201306271374
2022-12-17,3.688548843395527
2022-12-18,3.7268143568337346
2022-12-19,3.7010817164831544
2022-12-20,3.772317781131209
2022-12-21,3.764105895837685
2022-12-22,3.7251977635185654
2022-12-23,3.691417889978752
2022-12-24,3.6870391269792995
2022-12-25,3.5632084558239376
2022-12-26,3.5816274235222005
2022-12-27,3.56779727164729
2022-12-28,3.566818078623719
2022-12-29,3.6473763414512876
2022-12-30,3.5525474902055545
2022-12-31,3.4365496568486704
2023-01-01,3.5704918620987356
2023-01-02,3.5361053355922905
2023-01-03,3.501195448789514
2023-01-04,3.496262826837208
2023-01-05,3.4836787646409006
2023-01-06,3.653542002326738
2023-01-07,3.8029935680537625
2023-01-08,3.7942643717912174
2023-01-09,3.7952290302144394
2023-01-10,3.775020208565174
2023-01-11,3.7381632155712814
2023-01-12,3.7685938573932276
2023-01-13,3.7982361895833305
2023-01-14,3.835026475218401
2023-01-15,3.8434206327156315
2023-01-16,3.8888687073116883
2023-01-17,3.9478911773789345
2023-01-18,3.98412074993623
2023-01-19,3.9783175590946755
2023-01-20,3.9476415213514997
2023-01-21,3.9407118838248474
2023-01-22,3.971213451923537
2023-01-23,3.9549274297453465
2023-01-24,3.829953341851483
2023-01-25,3.7329212312899194
2023-01-26,3.6961882647219975
2023-01-27,3.7207179064882685
2023-01-28,3.69053844664463
2023-01-29,3.6471190967169447
2023-01-30,3.6494032874749434
2023-01-31,3.7326890737238125
2023-02-01,3.7587322879443668
2023-02-02,3.7784381157879463
2023-02-03,3.7438976001101976
2023-02-04,3.6676099930171513
2023-02-05,3.5511047748687945
2023-02-06,3.4112414645602662
2023-02-07,3.300846601558333
2023-02-08,3.2221562141431126
2023-02-09,3.1522113828714033
2023-02-10,3.149017776418735
2023-02-11,3.1666602587952277
2023-02-12,3.2718697739968583
2023-02-13,3.352008215763518
2023-02-14,3.4240395599467606
2023-02-15,3.43862897488112
2023-02-16,3.463458298874047
2023-02-17,3.315798649831446
2023-02-18,3.2191948567990814
2023-02-19,3.108035246049272
2023-02-20,2.9793537252464968
2023-02-21,2.8684783137381733
2023-02-22,2.8773843278393625
2023-02-23,2.854700728934044
2023-02-24,2.955390773983845
2023-02-25,3.0721547653881243
2023-02-26,3.117235681049583
2023-02-27,3.252452613167456
2023-02-28,3.3686063088899405
2023-03-01,3.41198050947729
2023-03-02,3.443503158065689
2023-03-03,3.442881371792495
2023-03-04,3.4313841196369905
2023-03-05,3.452990751116398
2023-03-06,3.417547620309727
2023-03-07,3.4110497726151836
2023-03-08,3.445179415647425
2023-03-09,3.4238322245001647
2023-03-10,3.425414942565881
2023-03-11,3.4381689620858964
2023-03-12,3.4521064964593586
2023-03-13,3.4123976729931966
2023-03-14,3.4157353129587436
2023-03-15,3.400319034611431
2023-03-16,3.449199513955486
2023-03-17,3.4216392747117466
2023-03-18,3.357698472131346
2023-03-19,3.3653497662806586
2023-03-20,3.4076814425409063
2023-03-21,3.3750133469166066
2023-03-22,3.396079525877522
2023-03-23,3.363964354227467
2023-03-24,3.3805979329629565
2023-03-25,3.392490938239331
2023-03-26,3.3589284223238742
2023-03-27,3.378344522097117
2023-03-28,3.3983280248129435
2023-03-29,3.3650782336684153
2023-03-30,3.405167886977163
2023-03-31,3.4116613934706694
2023-04-01,3.464618415066323
2023-04-02,3.494664045111953
2023-04-03,3.48238596314746
2023-04-04,3.5158976499962344
2023-04-05,3.5381722008422143
2023-04-06,3.5227974617832643
2023-04-07,3.557077438834326
2023-04-08,3.5936669362933884
2023-04-09,3.6309266784711633
2023-04-10,3.6417635059677673
2023-04-11,3.656232773244073
2023-04-12,3.660081764184286
2023-04-13,3.5979168041932392
2023-04-14,3.5174695797554176
2023-04-15,3.5001768054156632
2023-04-16,3.5066966768499044
2023-04-17,3.5639805215184306
2023-04-18,3.5647515112187986
2023-04-19,3.562451540158832
2023-04-20,3.6043111298445085
2023-04-21,3.6985277174492834
2023-04-22,3.7037502091305194
2023-04-23,3.645662169445372
2023-04-24,3.6099620112175237
2023-04-25,3.640785353636329
